"date","transaction_details","debit","credit","net_amount"
"2023-10-14","Kitchen Equipment Purchase - Air Fryer, Induction, Tea Pan",,4258,-4258
"2023-10-24","Kitchen Equipment - Induction Purchase",,2100,-2100
"2023-11-04","Lock Purchase for Shop",,3000,-3000
"2023-11-18","Tea Samples",,330,-330
"2023-11-25","Frozen Food Samples",,1200,-1200
"2023-12-02","Equipment Purchase advance",,40000,-40000
"2023-12-09","Equipment Purchase advance
",,20000,-20000
"2023-12-09","Equipment Purchase - Deep fryer & Insect Killer",,6330,-6330
"2023-12-16","Jio Wifi and landline connection for 6 months",,3278,-3278
"2023-12-16","SSN - Kitchen Equipment purchases",,71405,-71405
"2023-12-18","Pouch Clips",,220,-220
"2023-12-23","Jio telephone connection refunded",3278,,3278
"2023-12-24","Pamplet Printing",,9800,-9800
"2023-12-29","Calcutta Employee Travel expenses",,7400,-7400
"2023-12-29","Recruitment expense",,33800,-33800
"2023-12-31","Kitchen Eqiupment- Induction and insect killer",,5833,-5833
"2024-01-02","Giri Loan",,30000,-30000
"2024-01-05","Samosa and Puff Purchase",,135,-135
"2024-01-05","Giri's Cash transfer",,255,-255
"2024-01-06","Puff Purchase",,270,-270
"2024-01-08","Puff Purchase",,90,-90
"2024-01-09","Sugarcane plate and parcel box",,2700,-2700
"2024-01-09","Puff Purchase",,487,-487
"2024-01-09","Garbage Bag  and stock Purchase",,450,-450
"2024-01-10","Soup and Oil purchase",,601,-601
"2024-01-10","Puff Purchase",,219,-219
"2024-01-11","Partial repayment of Giri loan",50000,,50000
"2024-01-11","Partial repayment of Giri loan",50000,,50000
"2024-01-13","Stock purchase (soup)",,270,-270
"2024-01-14","Partial repayment of Giri loan",50000,,50000
"2024-01-22","Partial repayment of Giri loan",50000,,50000
"2024-01-28","Partial repayment of Giri loan",65000,,65000
"2024-03-01","Giri Loan",,15000,-15000
"2023-12-24","Goli Soda Purchase",1152,,1152
"2024-01-02","Soda Purchase",1152,,1152
"2024-01-19","Stock Purchase - Goli Soda",2880,,2880
"2024-02-22","Stock Purchase - Goli Soda",2760,,2760
"2024-01-07","Dinesh - Hostel Fee",2000,,2000
"2024-02-14","surya  Hostel Fee refund",,2000,-2000
"2024-02-23","Ice Cream Purchase",1998,,1998
"2024-02-24","Ice Cream Purchase",400,,400
"2024-03-02","Sales - 01-03-2024",,300,-300
"2024-03-11","Oil/soup/ginger/tea filter/ice cream and curd purchase",1599,,1599
"2023-12-20","Pet Pooja Software and Paytm Machine",11800,,11800
"2023-12-24","ACT connection for 6 months",3894,,3894
"2023-10-14","Kitchen Equipment Purchase - Air Fryer, Induction, Tea Pan",4258,,4258
"2023-10-24","Kitchen Equipment - Induction Purchase",2100,,2100
"2023-11-12","Kitchen Equipment - Oven purchase",5400,,5400
"2023-12-09","Equipment Purchase - Deep fryer & Insect Killer",6330,,6330
"2023-12-16","Kitchen items purchase - Tissue Stand Purchase, Ice cube maker tray etc",1763,,1763
"2023-12-16","SSN - Kitchen Equipment purchases",235255,,235255
"2023-12-21","Kitchen Equipment and Stock purchase at Dmart",2699,,2699
"2023-12-24","Kitchen equipment purchase",6368,,6368
"2023-12-25","Dmart - Kitchen supplies purchase",1026,,1026
"2023-12-25","Sprinkler, kitchen supplies and  Flavoured Tea purchase",699,,699
"2023-12-31","Kitchen Eqiupment- Induction and insect killer",5833,,5833
"2024-01-04","Kitchen Equipment purchase - timer",219,,219
"2024-01-05","Misc Kitchen Equipment",448,,448
